identifier,name,description,ingredients,serving_size,servings,steps,tags,search_terms
103065,Christmas Salad,Snowflakes and crimson bulbs atop Christmas trees...figuratively speaking. I accidentally invented this savory salad which can also be used to explain the significance of Christ's birth to children. Amounts are approximate (I never measure!).,"[""8   cups    fresh spinach\, cleaned ""\,""1/2  cup    dried cranberries (craisins)""\,""1/4  cup    sliced almonds""\,""1/4  cup    feta""\,""1/4  cup    green onion (scallions)""\,""6   slices    bacon""\,""  hot bacon salad dressing or   sweet and sour dressing""]",106,4,"['Microwave bacon for about five minutes (cover with paper towel) or until almost crisp.'\, 'Reserve bacon grease for hot bacon dressing (if making).'\, 'Microwave almonds for two minutes (stirring once) in same plate used for cooking bacon.'\, 'While those items are being microwaved\, wash and chop green onions finely.'\, 'Put spinach in large serving bowl.'\, 'Explain that it represents the Christmas tree which will later be made into the cross of Christ.'\, 'Add green onions.'\, 'Add dried cranberries.'\, ""Explain that the red symbolizes Christ's blood shed on the cross to pay the price for our sin.""\, 'Crumble in bacon.'\, 'Crumble in feta.'\, ""Explain that the white stands for Christ's innocent blood washing away our sins and making us pure.""\, 'Sprinkle with almonds.'\, ""Stir in dressing (there are many great recipes for hot bacon and sweet and sour dressings on Zaar\, but if you're in a hurry\, just mix up vinegar\, oil or bacon drippings\, sugar\, salt).""\, 'Toss well and serve immediately.']","['bacon'\, '15-minutes-or-less'\, 'time-to-make'\, 'course'\, 'main-ingredient'\, 'preparation'\, 'occasion'\, 'salads'\, 'pork'\, 'vegetables'\, 'easy'\, 'beginner-cook'\, 'dinner-party'\, 'holiday-event'\, 'dietary'\, 'christmas'\, 'low-carb'\, 'low-in-something'\, 'meat'\, 'greens'\, 'spinach']","{'dinner'\, 'low-carb'\, 'salad'}"
48954,Christmas Goose,Step by step goose recipe was originally printed in Bon Appetit (December 1983),"[""1 (10 -12   lb)    goose""\,""1   teaspoon    salt""\,""1/2  teaspoon    pepper""\,""  thyme""\,""  parsley""\,""3   medium    apples\, quartered ""\,""3   medium    onions\, quartered ""\,""2   stalks    celery\, cut into 2 inch pieces ""\,""5   cups    water""\,""6   tablespoons    flour""\,""  beef broth""]",509,8,"['Remove neck and giblets from goose.'\, 'Set aside.'\, 'Trim extra fat from neck and tail.'\, 'Rub inside and out with salt and pepper.'\, 'Add 1 thyme sprig\, 1 parsley sprig\, 4 apple quarters\, 4 onion quarters and 4 celery pieces to cavity.'\, 'Repeat with remaining apples\, onions\, celery\, thyme and parsley.'\, 'Skewer cavity closed and lace tightly.'\, 'Fold wings against back.'\, 'Preheat oven to 500-degrees F.'\, 'Set goose in pan breast side down.'\, 'Prick skin well.'\, 'Roast 30 minutes.'\, 'Reduce oven temp to 400-degrees F.'\, 'and continue roasting for 30 minutes.'\, 'Turn goose over; prick again.'\, 'Roast 1 hour.'\, 'While goose is cooking\, bring neck\, giblets and 3 cups of water to simmer over medium low heat. Simmer 10 minutes. Remove liver and set aside. Reduce heat to low and continue cooking for 1 1/2 hours. Drain. Set giblets aside. Discard neck.'\, 'Pour drippings from goose and set aside.'\, 'Prick again.'\, 'Pour 2 cups water in pan.'\, 'Continue cooking for 1- 1/2 hours.'\, 'Pour drippings from pan and set aside.'\, 'Let goose stand 20-30 minutes.'\, 'While goose is resting\, chop liver and giblets.'\, 'Skim 6 TB fat from drippings and heat in pan over low heat.'\, 'Stir in 3 TB flour and cook for 3 minutes.'\, 'Degrease drippings and add to broth.'\, 'Add enough beef broth to equal 3 cups.'\, 'Add to pan.'\, 'Increase heat to med.'\, 'high and cook until thick.'\, 'Blend in chopped giblets and liver.'\, 'Add salt and pepper to taste.'\, 'Cook over low heat.'\, 'Remove trusing thread and pins from goose.'\, 'Throw away stuffing.']","['weeknight'\, 'time-to-make'\, 'course'\, 'main-ingredient'\, 'preparation'\, 'occasion'\, 'main-dish'\, 'fruit'\, 'poultry'\, 'oven'\, 'holiday-event'\, 'dietary'\, 'christmas'\, 'apples'\, 'meat'\, 'goose'\, 'equipment']",{'dinner'}
89869,Christmas Meatballs,Really good and juicy. Recipe is easily halved or doubled.,"[""2   lbs    lean ground beef""\,""2       eggs""\,""1/4  cup    water""\,""1   cup    breadcrumbs""\,""1/4  cup   minced onion""\,""2 (8   ounce) cans   jellied cranberry sauce""\,""1 1/2  cups    chili sauce""\,""2   tablespoons    brown sugar""\,""1   tablespoon    lemon juice""]",265,6,"['Preheat oven to 350 degrees F (175 degrees C).'\, 'In a large bowl mix together the ground beef\, egg\, water\, bread crumbs\, and minced onion.'\, 'Roll into small meatballs.'\, 'Bake in oven for 20-25 minutes turning once.'\, 'In slow cooker (or large sauce pan) over low heat blend the cranberry sauce\, chili sauce\, brown sugar and lemon juice.'\, 'Add meatballs\, and simmer for 1 hour before serving.']","['time-to-make'\, 'course'\, 'main-ingredient'\, 'preparation'\, 'occasion'\, 'main-dish'\, 'beef'\, 'holiday-event'\, 'christmas'\, 'ground-beef'\, 'meat'\, '4-hours-or-less']",{'dinner'}
343187,Christmas Pizza,"This delicious dessert will tempt any chocolate lover and thrill holiday enthusiasts!  It's quick and easy to make, done in something like 15-20 min.  You can use those cute Christmas cookie trays that are the size of a pizza pan for extra decoration.  Slice with a pizza cutter and enjoy chocolate, nuts, coconut, and other delights.","[""1 (12   ounce) package  real milk chocolate chips (or dark\, if you prefer)""\,""1   lb    white almond bark\, cut into small  (1-inch)""\,""2   cups    miniature marshmallows""\,""1   cup    crisp rice cereal""\,""1   cup    salted peanuts or 1   cup    unsalted peanuts""\,""1 (6   ounce) jar   red maraschino cherries\, drained\, and cut in half ""\,""3   tablespoons    green glazed cherries\, drained and quartered ""\,""1/3  cup    angel flake coconut""\,""1   tablespoon    oil""]",60,12,"['Microwave chips and 14 oz almond bark in a 2 qt microwave-safe bowl on HIGH for 2 minutes. Stir. Continue microwaving 1 to 2 minute or until smooth when stirred\, stirring every 30 seconds.'\, 'Stir in marshmallows\, cereal and peanuts.  Pour onto greased 12-inch pizza pan.  Top with cherries; sprinkle with coconut.'\, 'Microwave remaining 2 oz. almond bark and oil in a 1 cup measure for 1 minute and stir.  Continue microwaving 30 seconds to 1 minute or until smooth when stirred\, stirring every 15 seconds.  Drizzle over coconut.'\, 'Refrigerate until firm (usually 3+ hours). Store at room temperature.  Cut into wedges.  Makes about 12 large slices.']","['30-minutes-or-less'\, 'time-to-make'\, 'course'\, 'main-ingredient'\, 'preparation'\, 'occasion'\, 'desserts'\, 'easy'\, 'beginner-cook'\, 'finger-food'\, 'holiday-event'\, 'candy'\, 'chocolate'\, 'christmas'\, 'presentation']","{'dessert'\, 'pizza'\, 'dinner'}"
342943,Christmas Soup,"A very yummy Alton Recipe- I just love all his postings, and this one is no different","[""1   lb    kielbasa\, sliced 1/4-inch thick on bias ""\,""  vegetable oil\, as needed ""\,""8       garlic cloves\, minced ""\,""1   lb    dried red kidney beans\, soaked at least 4 hours and up to overnight ""\,""2   quarts    chicken broth""\,""1   lb    red potatoes\, cut into 1/2-inch cubes ""\,""6   ounces    fresh kale\, approximately 4 handfuls ""\,""1/4  cup    red wine vinegar""\,""1/2  teaspoon    fresh ground black pepper""]",837,6,"['Place the kielbasa into a 7-quart Dutch oven and set over medium-low heat. Cook until the kielbasa has browned well and rendered its fat\, approximately 15 minutes. If you do not have at least 2 teaspoons of fat\, add enough vegetable oil to make 2 teaspoons. Remove the kielbasa from the pan and set aside.'\, 'Add the garlic and cook for 1 to 2 minutes\, stirring constantly to prevent the garlic from burning. Add the beans and the chicken broth and cook\, covered\, for 45 minutes. After 45 minutes\, add the potatoes\, cover and cook for 15 minutes\, stirring occasionally.'\, 'Wash\, rinse and trim the kale and tear into bite size pieces. Add the kale to the pot\, cover and cook for an additional 10 minutes or just until it is tender\, but not mushy.'\, 'Add the red wine vinegar and black pepper and stir to combine. Evenly distribute the kielbasa between 8 soup bowls. Laddle the soup into bowls and serve.']","['time-to-make'\, 'course'\, 'main-ingredient'\, 'preparation'\, 'occasion'\, 'main-dish'\, 'soups-stews'\, 'easy'\, 'holiday-event'\, 'dietary'\, 'christmas'\, 'low-cholesterol'\, 'low-saturated-fat'\, 'low-calorie'\, 'healthy-2'\, 'low-in-something'\, 'meat'\, '4-hours-or-less']","{'dinner'\, 'low-calorie'\, 'soup'}"
115845,Christmas Strawberries,This came out of a magazine. I have not tried it yet but it looked so cute that I'll make it soon.,"[""2 (6   ounce) packages   strawberry gelatin""\,""1 (14   ounce) can   sweetened condensed milk""\,""2   cups    flaked coconut""\,""2   teaspoons    vanilla extract""\,""1/2  cup   red decorator sugar""\,""1/4  cup   green decorator sugar""\,""2   ounces    slivered almonds""]",46,24,"['Blend together the gelatin and condensed milk.'\, 'Add coconut and vanilla; mix well and refrigerate until chilled.'\, 'Roll into small balls and shape into strawberries; roll in red sugar crystals.'\, 'Dip fat end into green sugar crystals.'\, 'Place an almond sliver into the fat end for a stem.'\, 'To prevent hardening\, store in an air tight container until ready to serve.']","['30-minutes-or-less'\, 'time-to-make'\, 'course'\, 'preparation'\, 'occasion'\, 'for-large-groups'\, 'healthy'\, 'desserts'\, 'easy'\, 'holiday-event'\, 'dietary'\, 'christmas'\, 'seasonal'\, 'brunch'\, 'novelty'\, 'number-of-servings']","{'healthy'\, 'dessert'}"
48266,Christmas Wreaths,I made these when I was a Girl Scout and everyone still enjoys them each Christmas. Kids of all ages love 'em.,"[""1/4  lb    margarine""\,""1 1/2  teaspoons    vanilla""\,""1 1/2  teaspoons    green food coloring""\,""24      fresh marshmallows""\,""4   cups    corn flakes""\,""72   small    red cinnamon candies""]",16,24,"['In a double boiler\, melt margarine with vanilla and green food coloring.'\, 'Add marshmallows and stir until melted and smooth.'\, 'Add corn flakes.'\, 'Remove from heat.'\, 'Drop by heaping tablespoons onto waxed paper and form into wreaths.'\, 'Add 3 cinnamon candies to represent berries on poinsettas.'\, 'Cool and enjoy!']","['15-minutes-or-less'\, 'time-to-make'\, 'course'\, 'preparation'\, 'occasion'\, 'for-large-groups'\, 'hand-formed-cookies'\, 'desserts'\, 'easy'\, 'holiday-event'\, 'cookies-and-brownies'\, 'dietary'\, 'christmas'\, 'number-of-servings']",{'dessert'}
260867,Christmas Fudge,"This recipe came from my aunt who made this and another fudge for years at Christmas and it is my husband's favorite.  It has candied cherries in it and looks so pretty.  It has a butterscotch flavor and is very, very tasty.  It is so pretty on a candy tray at Christmas.  It makes 5 pounds of fudge.   Please read the NOTE in the directions about stirring constantly.","[""5   cups    sugar""\,""1 (13   ounce) can   evaporated milk""\,""1/2  cup    butter""\,""1 (13   ounce) jar   marshmallow cream""\,""1   teaspoon    salt""\,""1   teaspoon    vanilla""\,""1   cup   chopped walnuts""\,""2 (12   ounce) bags   butterscotch chips""\,""1   cup    candied cherry (cut up)""]",2661,1,"['Combine the first 5 ingredients in a large 4-quart saucepan.'\, 'Stir over medium heat till blended.'\, ""Bring to a boil stirring CONSTANTLY (if you don't do this over a medium heat and stir constantly\, the stuff will burn on and you don't want that in a light fudge); don't mistake the escaping air bubbles for boiling.""\, 'Continue boiling for 5 1/2 minutes.'\, 'Remove from heat and add the rest of the ingredients until the butterscotch bits are melted.'\, 'Put into a buttered 9x13 pan or a little larger if you want.'\, 'Makes 5 lbs. fudge.']","['30-minutes-or-less'\, 'time-to-make'\, 'course'\, 'preparation'\, 'occasion'\, 'fudge'\, 'desserts'\, 'easy'\, 'holiday-event'\, 'candy'\, 'gifts'\, 'christmas'\, '3-steps-or-less']",{'dessert'}
104642,Christmas Crunchies,This recipe was on a Christmas card my sister received close to 30 years ago. It quickly became a family favorite.,"[""1/2  cup    butter""\,""1/2  cup    brown sugar""\,""1/2  cup    granulated sugar""\,""1       egg""\,""1/2  teaspoon    vanilla""\,""1   cup    flour""\,""1/2  teaspoon    baking soda""\,""1/4  teaspoon    salt""\,""1/4  teaspoon    baking powder""\,""1   cup    oatmeal (dry)""\,""1/2  cup    coconut""\,""1/2  cup    walnuts\, chopped ""\,""1   cup    corn flakes""]",716,1,"['Preheat oven to 350 degrees.'\, 'Cream butter and sugars together.'\, 'Beat egg and vanilla\, add to creamed mixture.'\, 'Sift flour\, soda\, salt and baking powder together.'\, 'Add dry ingredients to wet\, and stir to blend.'\, 'Add remaining ingredients and combine.'\, 'Roll dough into 1 inch balls and place on greased cookie sheet\, 2 inches apart.'\, 'Bake 10-15 minutes\, until browned.']","['60-minutes-or-less'\, 'time-to-make'\, 'course'\, 'preparation'\, 'occasion'\, 'hand-formed-cookies'\, 'desserts'\, 'holiday-event'\, 'cookies-and-brownies'\, 'christmas'\, 'seasonal']",{'dessert'}
470210,Christmas Stars,Lemony Christmas cookies posted for safe-keeping.  From Parents Magazine - December 2000.,"[""1/2  cup    butter""\,""1/3  cup    sugar\, plus ""\,""2   tablespoons    sugar""\,""1   large    egg""\,""1/2  tablespoon    light corn syrup""\,""1   teaspoon    lemon extract""\,""1   teaspoon    lemon rind\, grated ""\,""1 3/4  cups    all-purpose flour""\,""1/8  teaspoon    salt""\,""""\,""1   cup    confectioners\\u0027 sugar""\,""4   teaspoons    lemon juice""\,""  yellow food coloring""\,""  colored sugar sprinkle""]",634,1,"['In medium bowl\, with electric mixer on medium\, beat butter and sugar until light and fluffy.'\, 'Beat in egg\, corn syrup\, lemon extract and lemon rind until well-blended.'\, 'Reduce mixer speed to low and gradually beat in flour and salt.'\, 'Gather dough into 2 balls and flatten each into a disk and wrap in plastic.'\, 'Refrigerate at least one hour or overnight.'\, 'Soften dough a bit at room temperature before rolling out.'\, 'Heat oven to 325 and lightly grease two baking sheets.'\, 'Roll out dough between two sheets of waxed paper to 1/4"" thickness.'\, 'Cut out cookies with a 2 1/2"" satar cookie cutter.'\, 'Bake 12 - 15 minutes (until lightly browned).'\, 'Cool cookies on baking sheets for 5 minutes and then transfer to wire racks.'\, ""For glaze:  whisk together confectioner's sugar and lemon juice.""\, 'Divide the glaze into two bowls and tint one with yellow food coloring.'\, 'One cookie at a time\, spread either the white or the yellow glaze onto the cookie.'\, 'Using a toothpick\, drag the alternate color of glaze through the wet cookie to make wispy designs.'\, 'Dip edges of cookie into sugar crystals.']","['time-to-make'\, 'course'\, 'preparation'\, 'occasion'\, 'desserts'\, 'holiday-event'\, 'cookies-and-brownies'\, 'christmas'\, '4-hours-or-less']",{'dessert'}
